id,Sector,Código de Comité,Nombre del Comité ,Codigo,ICS,Edición,Precio Letras,Precio,Nombre,correspondencia,Organismo de la norma de correspondencia,Objeto y campo de aplicación,Fecha de aprobación,Normas de referencia,Normas que la referencian,Número de paginas,historico ,Marco regulatorio,Tipo de Norma,Normas Populares,Estado,Sustituida por
,CNN,CTN,CNN,INTE 00-00-00-2007,01.120.00,1, E,14300,Guía para la preparación y la presentación de normas. ,N.A,INTECO,"Esta norma tiene por objeto establecer el procedimiento que se debe seguir para la redacción, estructuración y presentación de una norma. Esta norma se debe aplicar a la preparación de normas, instrucciones, documentación, guías de aplicación, códigos manuales o cualquier otro documento de naturaleza análoga, aunque por razones prácticas de redacción, en este documento se utilizará exclusivamente la palabra norma para designar genéricamente a todos los documentos mencionados.",2015-01-12,N.A,,28,,,Guía,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-07-01:2007/Cor 2:2013,13.060.20,1, C,9130,Norma general para el agua envasada para consumo humano. Especificaciones. ,Codex Stan 227:2001,CODEX,"La presente norma establece las especificaciones que debe cumplir el agua envasada y comercializada como producto final en recipientes de diferentes composiciones, formas y capacidades destinada para consumo humano, distinta de las aguas minerales naturales1). Nota 1): las aguas minerales naturales se rigen por los requisitos establecidos en la norma Codex Stand 108.",2007-09-19,"INTE 02-01-01-03, Codex Stan 108, RTCR 100",,12,,,Especificaciones,,Activa,
,Alimentos,CTN 02,Alimentos,INTE/ISO 22005:2009,03.120.30,1, C,9130,"Trazabilidad de la cadena alimentaria. Principios
generales y requisitos fundamentales para el
diseño y la implementación del sistema",ISO 22005:2007,ISO,"Esta Norma Internacional proporciona los principios y especifica los requisitos básicos para el
diseño y la implementación de un sistema de trazabilidad de la cadena alimentaria. Puede ser
aplicada por una organización que esté actuando en cualquier etapa de la cadena alimentaria. Está prevista para que sea lo suficientemente flexible como para permitir que las organizaciones
alimentarias (tanto para animales como para consumo humano) alcancen sus objetivos
identificados. El sistema de trazabilidad es una herramienta técnica para ayudar a una organización a que
cumpla con sus objetivos definidos, y es aplicable cuando es necesario determinar la historia o la
ubicación de un producto o sus componentes pertinentes.",2008-02-13,INTE/ISO 22000:2005,,14,,,"Principios
generales y requisitos fundamentales para el
diseño y la implementación del sistema.",,Activa,
,Alimentos,CTN 02,Alimentos,INTE/ISO/TS 22002-2:2015,67020,2, E,14300,Programas de prerrequisitos de inocuidad de los alimentos. Parte 2: Servicios de Alimentación.,ISO/TS 22002-2:2013,ISO,"Esta parte de la serie ISO/TS 22002 especifica los requisitos para el diseño, implementación y mantenimiento de los programas prerrequisitos (PRPs) para ayudar a controlar los peligros de inocuidad de los alimentos en los servicios de alimentación.
Esta norma es aplicable a todas las organizaciones que están involucradas en el procesamiento, preparación, distribución, transporte y servicio de alimentos y comidas y desean implementar PPR en conformidad con los requisitos especificados en la INTE/ISO 22000:2012, 7.2.
El alcance de esta norma incluye servicios de alimentación: tales como catering aéreo,  ferroviario, banquetes, entre otros, en las unidades centrales y satélites, comedores estudiantiles y de industrias, hospitales e instalaciones de atención a la salud, hoteles, restaurantes, cafeterías y tiendas con  alimentos listos para consumir.
NOTA 1. Para las pequeñas y medianas empresas (Pymes), es posible que algunos requisitos no sean aplicables.
Los usuarios del servicio de comidas pueden pertenecer a los grupos vulnerables, como  por ejemplo, los niños, los ancianos y/o los enfermos. 
En algunos países, el término servicios de alimentos se usa como sinónimo de catering. La aplicación de esta norma no exime al usuario del cumplimiento con la legislación vigente y aplicable. Cuando se especifican requisitos legales locales para parámetros (temperatura, entre otros) establecidos en esta norma, los requisitos locales deben ser utilizados por la organización.
Las operaciones de servicios de  alimentación son de naturaleza diversa y no todos los requisitos especificados en esta parte de la INTE/ISO TS 22002 aplican a cada establecimiento o proceso.
Aunque el uso de esta norma no es obligatorio para cumplir con los requisitos de la INTE/ISO 22000, apartado 7.2, existe un requisito para justificar y documentar las desviaciones (exclusiones realizadas o medidas alternativas implementadas) cuando esta norma es utilizada como referencia para los PPR implementados. No es la intención de estas desviaciones afectar la capacidad de la organización en cumplir con los requisitos de la INTE/ISO 22000.
Esta norma específica requisitos detallados para ser considerados en relación con la INTE/ISO 22000, 7.2.3. 
Además, esta norma agrega otros aspectos tales como los procedimientos de retiro de productos que se consideren relevantes para las operaciones de servicios de  alimentación.
NOTA 2. Las medidas para la prevención de la contaminación malintencionada están fuera del alcance de esta norma.
Esta norma está destinada a ser utilizada al establecer, implementar y mantener el PPR específicos de la organización de acuerdo con la INTE/ISO 22000. Esta parte de la norma ISO / TS 22002 en sí mismo no está diseñada para fines de certificación.",42214,"INTE/ISO 22000, ISO 21469:2006",,29,,,Servicios de Alimentación,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-03-06:2011,67.100.30,2, B,6270,Queso crema (nata). Requisitos.,Codex Stan 275:2003 Enmienda:2010,CODEX,"La presente norma se aplica a todos los productos destinados al consumo directo o a ulterior elaboración que se ajustan a la definición de queso crema. 
En algunos países, la denominación “queso crema” se utiliza para designar quesos, tales como queso duro madurado con alto nivel de grasa, que no son conformes a la descripción del capítulo 3. Esta Norma no se aplica a dichos quesos.
",2011-03-16,"INTE 02-03-03:2010, INTE 02-03-10:2010, CAC/LMR:2001 Codex Alimentarius, CAC/LMR. 02:2006 Codex Alimentarius, CAC/RCP 1:1969 Rev. 3:1997 Codex Alimentarius, Stan 192:1995 Codex Alimentarius, Stan 1:1985 Rev. 1:1991 Codex Alimentarius, APHA 7.020, APHA 7.050, APHA:2004.5.020, APHA:2004.5.040, APHA:2004. 7.071, AOAC 926.08, AOAC 983.14/FIL 88ª/ISO 5943, AOAC 993.12, AOAC 933.05, 
AOAC 977.11, AOAC 989.04, AOAC 991.20, AOAC 967.26, AOAC 986.33, AOAC 989.10, AOAC 975.55, FIL 33C:1987, FIL 51B:1991, FIL 73B:1998, FIL 093:2001/ISO 6785, FIL 143A:1995, FIL 145A:1997, FIL 005:2004/ISO 1735, FIL 004:2004/ISO 5534: 1985, FIL 088:2004/ISO 5943:2006, FIL 50 C:1995, ISO 2962:1984, ISO 707, ISO 11866-1:2005, ISO 707/FIL 50 C",,10,,,Requisitos,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-01-07:2016,67.020,1, G,19800,Guía para la protección y defensa de los alimentos y bebidas de ataque intencionado.,PAS 96:2014,BSI,"Esta norma proporciona orientación sobre la prevención y la mitigación de las amenazas a los alimentos y al suministro de alimentos. En la norma se describe una metodología de gestión del riesgo, Evaluación de las Amenazas y Puntos Críticos de Control (TACCP), que puede ser adaptado por las empresas de alimentos de todos los tamaños y en todos los puntos de la cadena de suministro de alimentos.
Esta norma está destinada a ser de utilidad para todas las organizaciones, pero puede ser de uso particular a los gerentes de pequeñas y medianas organizaciones de alimentos que pueden no tener fácil acceso a asesoramiento especializado.
",2016-11-11,N.A,,44,,,Guía,,Activa,
,Alimentos,CTN 02,Alimentos,INTE/ISO/TS 22002-1:2013,67.020,1, E,14300,Programas prerrequisitos de inocuidad de los alimentos. Parte 1: Manufactura de los alimentos.,ISO/TS 22002-1:2009,ISO,"Esta especificación técnica define los requisitos para establecer, implementar y mantener programas prerrequisitos (PPR) para ayudar a controlar los peligros para la inocuidad de los alimentos.
Esta especificación técnica es aplicable a todas las organizaciones, independientemente de su tamaño o complejidad, que están comprometidas en la etapa de manufactura de la cadena alimentaria y desean implementar PPR de manera que se aborden los requisitos especificados en la norma INTE/ISO 22000, capítulo 7.
Esta especificación técnica no está diseñada ni su uso está previsto para otras partes de la cadena de suministro de alimentos.
Las operaciones de manufactura de alimentos son por naturaleza diversas y no todos los requisitos definidos en esta especificación técnica se aplican a un establecimiento o proceso individual.
Cuando se hacen exclusiones o se implementan medidas alternativas, estas necesitan justificarse y documentarse mediante un análisis de riesgo, como se describe en la norma INTE/ISO 22000, apartado 7.4. Cualquier exclusión o medidas alternativas adoptadas no deberían afectar la capacidad de la organización para cumplir estos requisitos. Algunos ejemplos de estas exclusiones incluyen los aspectos adicionales pertinentes a operaciones de manufactura correspondientes a 1), 2), 3), 4) y 5) que se enumeran más adelante.
Esta especificación técnica define requisitos detallados que van a ser considerados específicamente en relación con la norma INTE/ISO 22000, apartado 7.2.3:
a) construcción y distribución de edificaciones, y servicios asociados,
b) distribución de instalaciones, incluido el espacio de trabajo e instalaciones para los empleados,
c) suministro de aire, agua, energía y otros servicios,
d) servicios de soporte, incluida la disposición de residuos y aguas residuales,
e) la idoneidad del equipo y su accesibilidad para limpieza, mantenimiento y mantenimiento preventivo,
f) gestión de materiales comprados, g) medidas para prevenir la contaminación cruzada,
h) limpieza y sanitización,
i) control de plagas,
j) higiene del personal,
Además, esta especificación técnica adiciona otros aspectos que se consideran relevantes para las operaciones de manufactura:
1) reproceso,
2) procedimientos de retiro de productos,
3) almacenamiento,
4) información sobre el producto y toma de conciencia del consumidor,
5) defensa alimentaria, biovigilancia y bioterrorismo.
NOTA Las medidas de prevención contra contaminación malintencionada se encuentran por fuera de esta especificación técnica.",2013-07-30,INTE/ISO 22000,,25,,,Manufactura de los alimentos,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-02-03:1992,67.040,1, B,6270,Productos elaborados a partir de Frutas y Hortalizas. Jugo de piña. Especificaciones.,"ICAITI 34 007, CODEX STAN 46:1981, COPANT 704:75","ICAITI, CODEX, COPANT","La presente norma tiene por objeto establecer las características y especificaciones que debe cumplir el jugo de piña envasado y conservado mediante un tratamiento adecuado, en el momento de su expedición o venta.",1992,N.A,,8,,,Especificaciones,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-04-02:1992,67.040,1, A,4950,Productos elaborados a partir de Frutas y Hortalizas. Jugo concentrado de naranja. ,CODEX STAN 64:1981,CODEX,Esta norma se aplica al producto jugo concentrado de naranja tal y como se define en la presente norma,1992,N.A,,5,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-05-02:1992,67.040,1, C,9130,Productos elaborados a partir de Frutas y Hortalizas. Mermeladas de naranja.,"ICAITI 34 057, COPANT 579:1980","ICAITI, COPANT","La presente norma tiene por objeto establecer las características y especificaciones que debe cumplir la merme-lada de naranja, envasada y conservada mediante un trata-miento adecuado en el momento de su expedición o venta. Esta norma no se aplica a la naranja elaborada con endulcolorantes artificiales preparada para diabéticos o con propósitos dietéticos, ni a los productos con bajo contenido de azúcar que no se ajustan a los requisitos mínimos especificados en la presente norma. Tampoco se aplica a los productos claramente destinados y marcados como materia prima para procesos posteriores de fabricación.",1992,N.A,,11,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-05-04:1992,67.040,1, B,6270,Productos elaborados a partir de Frutas y Hortalizas. Mermelada de guayaba.,ICAITI 34-065,ICAITI,"La presente norma tiene por objeto definir las características y establecer los requisitos que debe presentar la mermelada de guayaba envasada, en el momento de su expedición venta. Esta norma se aplica al producto preparado con trozos de fruta, en tiras, partículas finas o tarnizadas de guayaba y que se conoce generalmente con el nombre de ''mermelada'', incluye disposiciones generales y específicas.",1992,N.A,,8,,,,,Activa,
